route_id,origin,destination,distance_km,fuel_used_liters,weather_condition,traffic_level,cargo_weight_kg,vehicle_type,avg_speed_kmph,delivery_time_hrs,fuel_type,temperature_c,humidity_percent,wind_speed_kmph,driver_id,shipment_type,delivery_status,road_type,fuel_cost_usd,emission_factor,engine_efficiency,tire_condition,brake_condition,maintenance_status,route_risk_level,fuel_station_visits,rest_stops,delivery_priority,carbon_emission_kg,co2_per_km
R00019,Warehouse_C,City_Y,740.14,241.65,Clear,Low,9491.55,Truck_Medium,,11.57,CNG,-8.6,61.6,24.2,D00019,Groceries,Delivered,Rural,250.67,2.79,0.46,Worn,Average,On Schedule,Medium,4,2,Medium,674.2,0.9109
R00020,Warehouse_A,City_Z,919.29,282.99,Rain,Low,1066.46,Truck_Large,76.5,13.98,Petrol,-9.9,86.3,17.4,D00020,Furniture,Delivered,Rural,310.96,2.48,0.34,Worn,Good,On Schedule,Low,2,1,High,701.82,0.7634
R00021,Warehouse_B,City_X,338.67,77.94,Clear,Low,18944.51,Truck_Small,,5.49,Diesel,-1.5,46.4,30.2,D00021,Furniture,In Transit,Highway,92.33,2.45,0.31,New,Poor,On Schedule,High,0,0,Low,190.95,0.5638
R00022,Warehouse_A,City_X,754.77,220.57,Clear,High,5857.97,Truck_Small,52.08,15.61,Diesel,25.1,49.2,43.7,D00022,Furniture,Delayed,Rural,250.04,2.49,0.35,Good,Average,On Schedule,Low,2,1,Medium,549.22,0.7277
R00023,Warehouse_B,City_Y,728.3,,Clear,High,16780.93,Truck_Medium,97.71,9.27,Petrol,20.2,30.4,27.2,D00023,Electronics,Delivered,Rural,277.43,2.69,0.29,Worn,Good,Overdue,High,4,0,Low,605.3,0.8311
R00024,Warehouse_B,City_Y,329.96,128.73,Clear,Medium,16511.89,Truck_Medium,45.52,7.84,Petrol,0.0,47.9,7.8,D00024,Electronics,Delivered,Highway,170.61,2.61,0.46,Good,Average,On Schedule,Medium,0,1,High,335.99,1.0183
R00025,Warehouse_A,City_Y,573.28,156.68,,Medium,4085.1,Truck_Medium,41.39,14.85,CNG,16.2,45.1,27.9,D00025,Electronics,Delivered,Rural,198.96,2.43,0.29,New,Average,On Schedule,High,2,2,Low,380.73,0.6641
R00026,Warehouse_C,City_Z,646.04,255.84,,Medium,10006.05,Truck_Small,61.53,11.77,Diesel,21.0,54.1,22.7,D00026,Electronics,Delivered,Highway,354.88,2.54,0.37,New,Average,On Schedule,High,3,1,Medium,649.83,1.0059
R00027,Warehouse_B,City_Y,507.08,156.41,Clear,High,1763.78,Truck_Small,82.09,6.76,Electric,36.9,59.7,47.0,D00027,Furniture,Delayed,Rural,205.39,2.43,0.29,Worn,Average,Overdue,High,3,0,Low,380.08,0.7495
R00028,Warehouse_C,City_Z,835.82,207.7,Snow,Low,7736.48,Truck_Large,98.68,9.19,Diesel,28.1,70.2,29.7,D00028,Electronics,Delivered,Highway,238.02,2.52,0.26,Good,Good,Pending,Medium,0,2,Low,523.4,0.6262
R00029,Warehouse_A,City_Y,841.23,,Clear,High,14888.6,Truck_Large,95.97,10.61,Diesel,-3.2,41.5,1.8,D00029,Groceries,Delivered,Urban,212.52,2.47,0.45,Good,Average,Pending,Low,4,0,Low,495.21,0.5887
R00030,Warehouse_B,City_Y,858.07,195.93,Rain,Low,5504.32,Truck_Medium,81.31,11.32,Diesel,3.5,63.4,6.0,D00030,Groceries,Delivered,Rural,258.6,2.49,0.39,Worn,Poor,Pending,Low,4,3,Low,487.87,0.5686
R00031,Warehouse_C,City_Z,813.25,236.32,Snow,Medium,3225.43,Truck_Small,66.19,14.17,Diesel,10.2,73.7,26.6,D00031,Furniture,Delivered,Rural,261.36,2.71,0.27,Worn,Average,On Schedule,Medium,4,2,High,640.43,0.7875
R00032,Warehouse_B,City_Y,513.68,104.99,Snow,Low,10635.35,Truck_Large,75.75,7.43,CNG,-4.7,44.5,39.8,D00032,Furniture,Delivered,Urban,121.72,2.71,0.47,New,Poor,Pending,Medium,4,0,Low,284.52,0.5539
R00033,Warehouse_A,City_Z,412.37,,Clear,Medium,,Truck_Small,98.12,6.04,Diesel,17.8,51.1,4.8,D00033,Groceries,In Transit,Rural,166.57,2.69,0.35,New,Poor,On Schedule,Medium,4,3,High,320.59,0.7774
R00034,Warehouse_B,City_Z,839.81,333.98,Rain,Medium,13840.75,Truck_Small,55.93,16.2,Petrol,35.4,42.3,28.3,D00034,Machinery,Delivered,Highway,370.7,2.68,0.36,Good,Poor,On Schedule,Medium,1,3,High,895.07,1.0658
R00035,Warehouse_A,City_Y,515.69,172.25,Clear,Medium,,Truck_Medium,68.7,8.87,CNG,5.3,36.7,22.6,D00035,Machinery,Delayed,Rural,218.57,2.5,0.37,Good,Average,On Schedule,Medium,4,2,Medium,430.62,0.835
R00036,Warehouse_C,City_Y,284.05,99.97,Snow,Medium,14220.38,Truck_Small,81.57,4.4,Diesel,39.2,75.4,18.1,D00036,Electronics,Delivered,Urban,104.71,2.58,0.31,Worn,Average,Overdue,Medium,2,3,Medium,257.92,0.908
R00037,Warehouse_B,City_X,531.98,119.06,Clear,Medium,17062.83,Truck_Medium,40.62,14.01,Diesel,2.5,44.4,4.1,D00037,Machinery,Delivered,Highway,143.86,2.58,0.39,New,Poor,Overdue,Medium,0,3,Low,307.17,0.5774
R00038,Warehouse_C,City_Y,184.76,54.43,Rain,Medium,5235.22,Truck_Large,62.88,4.18,Diesel,13.6,52.1,44.0,D00038,Electronics,Delivered,Highway,81.11,2.61,0.31,New,Average,Pending,Low,1,1,Low,142.06,0.7689
R00039,Warehouse_A,City_X,707.05,181.88,Clear,Low,,Truck_Small,74.07,10.58,Diesel,7.2,44.9,38.2,D00039,Furniture,Delivered,Rural,268.67,2.74,0.46,Worn,Poor,Pending,High,4,2,Medium,498.35,0.7048
R00040,Warehouse_A,City_Y,369.13,139.83,Clear,Medium,7841.81,Truck_Medium,94.06,4.54,Diesel,5.4,32.6,46.0,D00040,Furniture,Delivered,Urban,206.01,2.76,0.46,New,Average,Pending,High,2,0,Medium,385.93,1.0455
R00041,Warehouse_C,City_Z,297.63,70.32,Clear,Low,19280.13,Truck_Small,99.52,4.02,Diesel,8.9,73.7,8.4,D00041,Groceries,Delivered,Rural,91.25,2.49,0.37,Good,Average,Overdue,Medium,4,1,High,175.1,0.5883
R00042,Warehouse_C,City_Z,958.68,279.69,Rain,Medium,9365.31,Truck_Small,73.38,13.95,Electric,-8.4,68.6,28.6,D00042,Groceries,Delivered,Rural,320.9,2.57,0.38,New,Good,Overdue,High,3,1,Medium,718.8,0.7498
R00043,Warehouse_A,City_X,788.04,250.29,Rain,Medium,,Truck_Large,96.67,9.93,Petrol,16.6,58.6,1.0,D00043,Furniture,In Transit,Rural,294.71,2.46,0.5,Good,Poor,Overdue,Medium,0,1,Low,615.71,0.7813
R00044,Warehouse_C,City_Y,797.72,241.56,Fog,Medium,15612.25,Truck_Medium,45.96,19.11,Petrol,27.1,70.5,8.9,D00044,Electronics,Delivered,Urban,266.45,2.66,0.45,Good,Good,Overdue,High,3,0,High,642.55,0.8055
R00045,Warehouse_A,City_X,642.54,235.2,Rain,Medium,14650.81,Truck_Small,82.08,8.54,Petrol,33.2,80.8,39.5,D00045,Groceries,Delivered,Highway,246.68,2.63,0.27,New,Average,Overdue,High,4,1,Medium,618.58,0.9627
R00046,Warehouse_C,City_Y,847.21,208.66,Clear,Medium,10339.71,Truck_Small,64.03,14.83,CNG,6.2,67.1,14.3,D00046,Machinery,Delivered,Urban,226.28,2.74,0.29,Worn,Good,Pending,High,3,3,Low,571.73,0.6748
R00047,Warehouse_A,City_Y,771.2,212.45,Snow,Medium,9424.18,Truck_Large,85.06,10.24,CNG,17.5,84.4,9.9,D00047,Machinery,,Urban,262.08,2.61,0.4,Good,Good,Pending,High,2,2,Low,554.49,0.719
R00048,Warehouse_A,City_Z,618.84,221.8,Clear,Medium,11004.42,Truck_Small,92.06,8.52,Diesel,34.6,42.1,27.1,D00048,Electronics,Delivered,Highway,224.8,2.71,0.34,Good,Average,On Schedule,Low,1,1,Low,601.08,0.9713
R00049,Warehouse_B,City_X,963.07,294.33,Rain,High,,Truck_Medium,43.22,23.19,CNG,30.0,83.0,32.8,D00049,Electronics,Delivered,Rural,432.55,2.53,0.45,Good,Good,Pending,Low,2,2,Medium,744.65,0.7732
R00050,Warehouse_A,City_Z,232.02,65.06,Snow,Medium,18185.69,Truck_Medium,96.13,3.05,Petrol,13.2,62.5,30.5,D00050,Furniture,Delivered,Rural,83.33,2.68,0.41,Good,Poor,Overdue,Medium,2,3,Low,174.36,0.7515
R00051,Warehouse_A,City_Z,946.21,194.81,Clear,Medium,16092.28,Truck_Medium,44.09,23.16,CNG,-1.8,80.5,5.0,D00051,Machinery,In Transit,Urban,211.71,2.42,0.5,Worn,Poor,Pending,High,0,2,Medium,471.44,0.4982
R00052,Warehouse_B,City_Z,431.37,151.27,Snow,Medium,16226.52,Truck_Small,85.2,6.87,Electric,17.9,74.6,46.5,D00052,Electronics,In Transit,Urban,182.76,2.46,0.25,Worn,Average,On Schedule,Medium,0,2,High,372.12,0.8626
R00053,Warehouse_B,City_X,551.98,217.72,,High,9229.92,Truck_Small,44.14,14.27,Diesel,39.5,33.5,8.9,D00053,Furniture,Delivered,Highway,258.68,2.58,0.36,New,Average,Overdue,Low,3,0,Medium,561.72,1.0176
R00054,Warehouse_C,City_Y,166.6,53.99,Clear,Medium,2350.69,Truck_Medium,91.7,2.81,Petrol,27.9,80.3,46.3,D00054,Furniture,In Transit,Urban,76.54,2.75,0.35,Good,Average,On Schedule,Medium,4,2,Low,148.47,0.8912
R00055,Warehouse_C,City_Y,563.1,209.08,Clear,Medium,13978.47,Truck_Small,52.3,11.31,CNG,32.4,50.2,24.2,D00055,Machinery,Delivered,Rural,221.68,2.75,0.36,Good,Good,Pending,High,3,1,Medium,574.97,1.0211
R00056,Warehouse_A,City_X,630.65,191.32,Clear,Medium,8113.86,Truck_Large,66.04,10.26,Electric,-0.6,55.4,5.1,D00056,Machinery,Delivered,Highway,232.44,2.64,0.47,Good,Poor,Pending,Low,1,0,High,505.08,0.8009
R00057,Warehouse_C,City_Y,997.82,245.8,Fog,Medium,17538.18,Truck_Medium,95.96,12.28,Petrol,35.2,30.7,7.4,D00057,Machinery,In Transit,Rural,333.22,2.45,0.35,Good,Good,Overdue,Low,4,2,Low,602.21,0.6035
R00058,Warehouse_C,City_X,976.43,198.11,Clear,Medium,15826.43,Truck_Large,87.52,12.2,CNG,-9.3,75.5,21.5,D00058,Electronics,In Transit,Rural,235.08,2.67,0.45,Worn,Average,Overdue,High,2,1,Low,528.95,0.5417
R00059,Warehouse_A,City_X,968.08,320.12,Clear,High,3761.23,Truck_Large,87.15,12.93,CNG,33.1,58.0,49.9,D00059,Groceries,Delivered,Highway,377.36,2.47,0.41,Good,Poor,On Schedule,Low,2,1,Medium,790.7,0.8168
R00060,Warehouse_B,City_Y,380.97,113.77,Clear,Low,12432.6,Truck_Small,85.8,6.41,CNG,2.0,86.4,44.3,D00060,Electronics,Delivered,Highway,133.14,2.54,0.37,Good,Average,Overdue,Medium,1,2,Medium,288.98,0.7585
R00061,Warehouse_B,City_Z,991.7,353.46,Clear,Medium,14152.06,Truck_Small,74.17,14.46,Electric,21.1,46.9,49.0,D00061,Furniture,,Rural,488.13,2.53,0.42,New,Good,Pending,Medium,4,1,High,894.25,0.9017
R00062,Warehouse_A,City_X,482.7,163.6,Rain,High,11794.61,Truck_Medium,97.09,6.64,Diesel,4.7,59.8,22.7,D00062,Electronics,Delivered,Highway,173.36,2.75,0.31,Worn,Average,On Schedule,High,1,2,High,449.9,0.932
R00063,Warehouse_A,City_X,859.24,341.63,Clear,Low,10766.8,Truck_Small,89.9,10.31,Electric,-3.2,54.7,34.0,D00063,Groceries,Delivered,Highway,487.97,2.68,0.29,New,Good,Overdue,Medium,3,2,Low,915.57,1.0656
R00064,Warehouse_A,City_X,255.5,77.18,Fog,Medium,5329.4,Truck_Large,66.42,4.92,Diesel,2.4,77.5,26.0,D00064,Electronics,,Urban,79.92,2.43,0.49,Worn,Poor,On Schedule,Low,1,2,Medium,187.55,0.7341
R00065,Warehouse_A,City_X,530.54,,Clear,High,5482.23,Truck_Small,84.55,7.83,Petrol,13.6,62.1,1.5,D00065,Machinery,Delivered,Urban,175.58,2.74,0.35,New,Good,On Schedule,Medium,0,1,Low,414.92,0.7821
R00066,Warehouse_A,City_Y,967.71,249.04,Clear,High,15592.15,Truck_Medium,99.89,10.5,Petrol,36.0,57.6,7.1,D00066,Electronics,Delivered,Rural,297.48,2.57,0.33,Good,Poor,On Schedule,Medium,1,0,High,640.03,0.6614
R00067,Warehouse_A,City_Y,949.68,280.51,Clear,Medium,1355.11,,92.26,11.27,CNG,9.5,86.8,14.3,D00067,Machinery,Delivered,Rural,335.71,2.7,0.32,Worn,Poor,Overdue,Medium,4,3,Low,757.38,0.7975
R00068,Warehouse_C,City_X,699.55,262.03,Fog,Low,15799.29,Truck_Large,40.07,18.8,Diesel,-7.2,52.7,15.7,D00068,Machinery,In Transit,Highway,286.62,2.71,0.41,Worn,Poor,Pending,Low,3,3,Low,710.1,1.0151
R00069,Warehouse_C,City_Z,807.92,168.44,Clear,Low,11009.18,Truck_Large,84.27,11.12,Diesel,-8.8,59.4,34.7,D00069,Furniture,,Highway,219.24,2.8,0.5,Worn,Good,On Schedule,High,0,3,Medium,471.63,0.5838
R00070,Warehouse_C,City_Y,217.61,86.08,Clear,Medium,18788.23,Truck_Medium,93.87,3.35,CNG,0.5,63.2,36.0,D00070,Electronics,Delivered,Urban,105.6,2.54,0.47,Worn,Good,Pending,High,3,3,Low,218.64,1.0047
R00071,Warehouse_B,City_Z,735.58,293.25,Clear,Low,19949.11,Truck_Medium,59.67,13.39,Petrol,-7.4,33.2,22.5,D00071,Electronics,Delivered,Highway,376.47,2.75,0.35,Good,Good,On Schedule,Medium,2,2,Medium,806.44,1.0963
R00072,Warehouse_A,City_Z,637.15,203.61,Clear,Low,13606.21,Truck_Small,98.65,7.12,CNG,8.6,61.6,19.0,D00072,Electronics,Delivered,Rural,266.21,2.51,0.47,Good,Poor,On Schedule,High,0,2,Low,511.06,0.8021
R00073,Warehouse_A,City_X,136.97,36.48,Rain,Medium,8832.89,Truck_Small,64.08,4.11,CNG,9.2,50.1,8.9,D00073,Groceries,Delayed,Urban,39.97,2.8,0.36,Good,Good,On Schedule,High,1,0,High,102.14,0.7457
R00074,Warehouse_C,City_Y,157.5,38.53,Rain,Medium,10026.63,Truck_Medium,65.27,3.83,CNG,38.6,69.0,2.0,D00074,Electronics,In Transit,Rural,56.26,2.56,0.28,New,Average,On Schedule,Medium,3,3,Medium,98.64,0.6263
R00075,Warehouse_B,City_X,153.02,39.07,,High,4880.09,Truck_Large,49.65,4.38,CNG,5.3,68.6,29.3,D00075,Electronics,Delivered,Rural,55.29,2.66,0.3,Good,Poor,Pending,Medium,1,1,High,103.93,0.6792
R00076,Warehouse_C,City_X,738.14,155.02,Clear,Low,2885.45,Truck_Small,45.8,16.93,Petrol,19.9,72.7,17.4,D00076,Electronics,In Transit,Rural,219.23,2.8,0.31,Worn,Average,On Schedule,Medium,1,0,Low,434.06,0.588
R00077,Warehouse_A,City_Z,184.63,54.47,Rain,Low,11996.5,Truck_Medium,72.2,3.79,Diesel,30.9,53.9,23.8,D00077,Groceries,Delivered,Rural,68.95,2.48,0.48,Good,Good,Overdue,Low,3,3,Medium,135.09,0.7317
R00078,Warehouse_A,City_Z,494.35,104.54,Clear,High,16304.41,Truck_Medium,76.17,7.66,Diesel,15.7,36.3,45.0,D00078,Electronics,Delivered,Rural,147.4,2.65,0.49,Good,Good,On Schedule,Medium,1,1,Low,277.03,0.5604
R00079,Warehouse_C,City_Z,389.13,,Clear,Medium,5973.56,Truck_Large,62.01,7.16,Diesel,24.8,56.3,33.4,D00079,Machinery,Delivered,Urban,175.7,2.8,0.31,New,Good,Overdue,High,0,1,Low,374.47,0.9623
R00080,Warehouse_C,City_X,572.98,157.22,Clear,High,,Truck_Medium,76.4,8.67,CNG,38.7,63.1,38.9,D00080,Machinery,Delivered,Rural,192.64,2.78,0.35,Worn,Average,Pending,High,3,2,Medium,437.07,0.7628
R00081,Warehouse_A,City_X,721.15,172.98,Clear,High,11540.7,Truck_Small,63.68,12.13,Diesel,6.2,31.5,9.0,D00081,Electronics,Delivered,Rural,238.06,2.49,0.5,New,Good,Overdue,High,4,1,High,430.72,0.5973
R00082,Warehouse_C,City_X,700.49,216.43,Clear,High,18250.06,Truck_Small,92.09,9.17,CNG,-6.3,62.8,0.1,D00082,Machinery,Delivered,Rural,281.35,2.44,0.46,Good,Average,On Schedule,Medium,1,2,Low,528.09,0.7539
R00083,Warehouse_A,City_X,539.74,213.06,Clear,Medium,3633.99,Truck_Medium,97.23,7.41,Petrol,11.5,54.0,6.8,D00083,Electronics,Delivered,Rural,213.27,2.57,0.36,New,Good,Pending,High,2,1,High,547.56,1.0145
R00084,Warehouse_C,City_X,491.12,,Clear,Medium,5500.78,Truck_Medium,75.61,7.0,CNG,17.0,58.7,38.4,D00084,Groceries,Delivered,Highway,249.5,2.71,0.36,New,Good,Overdue,Low,3,0,Medium,451.22,0.9188
R00085,Warehouse_B,City_X,427.92,127.67,Clear,Medium,18452.08,Truck_Large,90.54,6.06,Petrol,19.0,48.2,22.2,D00085,Furniture,Delayed,Urban,155.11,2.72,0.47,Worn,Poor,Pending,Medium,2,1,High,347.26,0.8115
R00086,Warehouse_A,City_X,868.81,308.76,Rain,Medium,1751.18,Truck_Large,91.22,11.12,CNG,26.9,59.5,10.7,D00086,Machinery,Delivered,Urban,397.02,2.64,0.26,Worn,Poor,On Schedule,High,4,0,Medium,815.13,0.9382
R00087,Warehouse_B,City_X,364.31,126.6,Fog,Medium,13466.2,Truck_Medium,82.83,6.26,Diesel,34.9,82.9,48.1,D00087,Furniture,Delivered,Highway,152.3,2.65,0.48,Worn,Good,Overdue,Medium,4,1,Low,335.49,0.9209
R00088,Warehouse_C,City_Y,296.4,112.14,Fog,Medium,13150.99,Truck_Small,,6.79,Diesel,15.0,77.3,24.3,D00088,Furniture,Delivered,Rural,117.76,2.45,0.27,Worn,Average,Overdue,High,2,3,High,274.74,0.9269
R00089,Warehouse_B,City_Y,756.15,182.18,Snow,Low,8281.83,Truck_Large,49.3,17.2,Diesel,-2.8,67.0,18.4,D00089,Electronics,In Transit,Urban,258.15,2.58,0.48,New,Average,On Schedule,Low,3,3,High,470.02,0.6216
R00090,Warehouse_C,City_Y,391.78,145.65,Clear,Medium,9895.13,Truck_Medium,95.17,5.85,Diesel,10.2,67.6,48.9,D00090,Groceries,Delivered,Rural,195.36,2.63,0.27,Good,Good,Overdue,Low,2,0,Medium,383.06,0.9777
R00091,Warehouse_B,City_Y,854.65,222.38,Clear,Low,17243.44,Truck_Large,55.9,16.58,Electric,-2.2,83.7,6.7,D00091,Furniture,Delayed,Highway,314.5,2.67,0.49,New,Poor,Overdue,Low,0,1,High,593.75,0.6947
R00092,Warehouse_B,City_X,361.49,140.33,Snow,Medium,4134.66,Truck_Large,54.78,7.48,CNG,-0.9,58.8,30.0,D00092,Machinery,In Transit,Urban,174.29,2.44,0.25,Worn,Good,Overdue,High,1,1,Low,342.41,0.9472
R00093,Warehouse_B,City_X,716.85,183.67,,High,5399.78,Truck_Large,,15.82,Diesel,-9.9,62.4,37.5,D00093,Groceries,Delivered,Urban,256.38,2.68,0.49,Worn,Poor,On Schedule,High,4,2,Medium,492.24,0.6867
R00094,Warehouse_A,City_Z,92.85,35.78,Clear,Low,,Truck_Large,71.65,2.19,Electric,36.5,81.6,47.0,D00094,Machinery,In Transit,Rural,50.05,2.78,0.27,Worn,Poor,Overdue,High,4,0,High,99.47,1.0713
R00095,Warehouse_B,City_Z,416.28,163.5,Clear,Medium,8785.16,Truck_Large,80.62,6.19,CNG,27.3,75.3,41.7,D00095,Machinery,Delivered,Highway,190.99,2.71,0.28,Worn,Poor,On Schedule,Low,4,0,Low,443.08,1.0644
R00096,Warehouse_C,City_Y,376.07,86.16,Clear,Low,,Truck_Large,80.57,5.87,Petrol,-5.0,56.0,14.5,D00096,Groceries,,Urban,86.34,2.65,0.49,New,Average,Overdue,High,0,1,Medium,228.32,0.6071
R00097,Warehouse_C,City_Z,825.84,326.12,Snow,High,,Truck_Small,55.66,16.08,Diesel,36.0,48.3,13.0,D00097,Machinery,Delivered,Rural,466.32,2.44,0.45,New,Poor,On Schedule,High,0,2,High,795.73,0.9635
R00098,Warehouse_A,City_Y,968.7,210.35,Rain,High,18424.94,Truck_Large,45.69,21.99,Petrol,33.5,61.1,4.9,D00098,Electronics,Delivered,Rural,229.77,2.72,0.46,Good,Average,Overdue,Medium,0,3,High,572.15,0.5906
R00099,Warehouse_A,City_X,487.84,118.89,Rain,High,5370.35,Truck_Medium,,9.86,Petrol,35.5,37.2,8.4,D00099,Electronics,Delivered,Rural,170.53,2.67,0.36,Worn,Good,Overdue,Low,2,0,Medium,317.44,0.6507
R00100,Warehouse_C,City_X,833.59,,Snow,High,6740.75,Truck_Medium,70.21,13.86,CNG,-5.1,70.8,36.5,D00100,Groceries,Delivered,Rural,315.2,2.62,0.27,New,Good,Overdue,High,2,1,Medium,630.82,0.7568
R00101,Warehouse_B,City_Z,714.71,284.97,Clear,Medium,4079.3,Truck_Large,76.75,10.18,Diesel,-6.0,57.9,14.5,D00101,Machinery,Delivered,Highway,375.41,2.72,0.29,Good,Poor,Pending,High,1,0,Medium,775.12,1.0845
R00102,Warehouse_C,City_X,969.02,288.49,Rain,Low,18628.02,Truck_Large,56.24,18.56,CNG,-6.6,65.7,22.1,D00102,Furniture,Delivered,Urban,324.15,2.67,0.48,Good,Average,On Schedule,Medium,2,1,Medium,770.27,0.7949
R00103,Warehouse_A,City_X,820.55,254.44,Clear,Medium,8559.42,Truck_Medium,50.99,17.27,Petrol,38.3,80.8,34.5,D00103,Groceries,Delivered,Rural,305.66,2.59,0.35,Good,Average,Pending,Low,4,2,Medium,659.0,0.8031
R00104,Warehouse_A,City_Y,123.6,41.89,Rain,Medium,9544.4,Truck_Large,90.49,2.33,CNG,23.0,51.4,33.2,D00104,Furniture,Delayed,Highway,48.43,2.49,0.44,Good,Average,Overdue,Low,0,0,Medium,104.31,0.8439
